item,itemdescr,areacity,total_semanas,semanas_con_ventas,porcentaje_semanas_con_ventas,max_semanas_consecutivas,ventanas_12semanas_validas,media_ventas,desv_estandar,coef_variacion
4508,ZHUMIR DURAZNO GR 700CCX12 NG,IBARRA,200,162,81.0,152,141,89.375,92.45128759454596,1.0344200010578568
3859,AGUA VIVANT 600 16+4,IBARRA,200,168,84.0,152,141,4891.325,3274.7614772743677,0.6695039641149112
4350,VIVANT ST LIMONADA 450CC X 40,IBARRA,200,165,82.5,152,141,591.175,599.885729801181,1.0147346044761383
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,IBARRA,200,160,80.0,152,141,35.615,35.021842071920666,0.9833452778863025
4400,ZHUMIR PINK 700CCX12,AMBATO,200,193,96.5,150,140,75.64,77.47536745839977,1.0242645089687965
4391,LIOVA VODKA 750CCX6,AZOGUES,200,194,97.0,69,140,17.135,14.91742008896152,0.8705818552063915
3682,VIVANT LIPOTERMICA 500X40,QUITO,200,163,81.5,123,138,2665.49,2099.877117701709,0.7878015365661507
4521,SWITCH BONGO 350CCX12 NG,QUEVEDO,200,188,94.0,124,136,21.675,18.77396291189171,0.8661574584494446
4409,ZHUMIR AGUAR PA SUAVE 350CCX24,GUAYAQUIL,200,190,95.0,87,136,26.535,21.263098830116377,0.8013227371440127
4520,SWITCH MARACUYA 350CCX12 NG,QUEVEDO,200,192,96.0,71,135,27.41,23.887127796615886,0.8714749287346182
3682,VIVANT LIPOTERMICA 500X40,MACHALA,200,165,82.5,93,135,87.01,77.30738684175988,0.8884885282353738
4281,FLOYD AGUA TONICA 1500CC X 6,LOJA,200,194,97.0,97,135,70.14,61.12768085600967,0.8715095645282245
4517,SWITCH MARACUYA X6 NG,ESMERALDAS,200,182,91.0,112,134,286.615,372.63951456343216,1.3001396108488117
3682,VIVANT LIPOTERMICA 500X40,LOJA,200,169,84.5,134,133,78.15,82.10189465248435,1.0505680697694733
